
=== open /dev/ttyUSB0 9600 8N1 at 2026-07-27T11:41:57.406272704+02:00
       0.065 CFG   read timeout 500ms
   27272.431 RX    FF 91 00 58 FF
   27292.787 RX    FF 01 00 89 64
   27313.260 RX    00 00 29 FF
   27323.466 RX    00 30 80 7C 95 00
   27343.803 RX    26 00 26 00 26 00 26 00 00
   27353.992 RX    00
   27354.035 TX    80
   27374.470 RX    80 80 1C 00 00 86
   27384.657 RX    71 72 FF 65 78
   27405.087 RX    25 00 80 01
   27425.463 RX    00 00 00 1D 81
   27435.650 RX    4F 03 6B 00 30 0C B2
   27456.012 RX    00 00 00
   27456.058 TX    7D
   27466.232 RX    7D 7D 21
   27486.630 RX    40 0A FF 91 00
   27496.815 RX    58 FF FF 01
   27517.179 RX    00 89 64 00 00
   27537.548 RX    29 FF 00 30 80
   27547.736 RX    7C 95 00 26 00 26 00 26
   27568.298 RX    00 26 00 00 00
   27568.393 TX    80
   27578.706 RX    80 80
   27599.077 RX    1C 00 00 86 71 72
   27609.266 RX    FF 65 78 25 00
   27629.624 RX    80 01 00 00 00
   27649.990 RX    1D 81 4F 03 6B 00
   27660.199 RX    30 0C B2 00 00
   27680.600 RX    00
   27680.659 TX    7D
   27690.825 RX    7D 7D
   27711.194 RX    21 40 0A FF 91
   27721.377 RX    00 58 FF FF 01
   27741.721 RX    00 89 64 00 00
   27762.105 RX    29 FF 00 30
   27772.301 RX    80 7C 95 00 26 00 26 00
   27792.655 RX    26 00 26 00 00 00
   27792.695 TX    80
   27802.862 RX    80 80
   27823.266 RX    1C 00 00 86 71 72
   27833.448 RX    FF 65 78 25 00
   27853.806 RX    80 01 00 00
   27874.177 RX    00 1D 81 4F 03 6B
   27884.369 RX    00 30 0C B2 00 00
   27904.718 RX    00
   27904.754 TX    7D
   27914.922 RX    7D 7D 21
   27935.295 RX    40 0A FF 91 00
   27945.462 RX    58 FF FF 01
   27965.803 RX    00 89 64 00 00
   27986.206 RX    29 FF 00 30 80
   27996.378 RX    7C 95 00 26 00 26 00 26
   28016.725 RX    00 26 00 00 00
   28016.759 TX    80
   28026.922 RX    80 80
   28047.283 RX    1C 00 00 86 71 72
   28057.496 RX    FF 65 78 25 00
   28077.711 RX    80 01 00 00 00
   28098.075 RX    1D 81 4F 03 6B 00
   28108.387 RX    30 0C B2 00 00
   28128.754 RX    00
   28128.813 TX    7D
   28138.998 RX    7D 7D
   28159.309 RX    21 40 0A FF 91
   28169.491 RX    00 58 FF FF 01
   28189.839 RX    00 89 64 00 00
   28210.196 RX    29 FF 00 30
   28220.389 RX    80 7C 95 00 26 00 26 00
   28240.732 RX    26 00 26 00 00 00
   28240.771 TX    80
   28250.948 RX    80 80
   28271.317 RX    1C 00 00 86 71 72
   28281.501 RX    FF 65 78 25 00
   28301.848 RX    80 01 00 00
   28322.252 RX    00 1D 81 4F 03 6B
   28332.441 RX    00 30 0C B2 00 00
   28352.780 RX    00
   28352.813 TX    7D
   28362.984 RX    7D 7D 21
   28383.314 RX    40 0A FF 91 00
   28393.489 RX    58 FF FF 01
   28413.814 RX    00 89 64 00 00
   28434.174 RX    29 FF 00 30 80
   28444.367 RX    7C 95 00 26 00 26 00 26
   28464.707 RX    00 26 00 00 00
   28464.746 TX    80
   28474.912 RX    80 80
   28495.303 RX    1C 00 00 86 71 72
   28505.680 RX    FF 65 78 25 00
   28526.063 RX    80 01 00 00 00
   28536.327 RX    1D 81 4F 03 6B 00
   28556.775 RX    30 0C B2 00 00
   28577.675 RX    00
   28577.725 TX    7D
   28587.887 RX    7D 7D
   28608.480 RX    21 40 0A FF 91
   28618.842 RX    00 58 FF FF 01
   28639.543 RX    00 89 64 00 00
   28649.775 RX    29 FF 00 30 80
   28670.650 RX    7C 95 00 26 00 26 00
   28680.914 RX    26 00 26 00 00 00
   28680.966 TX    80
   28701.321 RX    80 80 1C 00 00 86
   28721.697 RX    71 72 FF 65 78
   28731.891 RX    25 00 80 01 00
   28752.282 RX    00 00 1D 81
   28762.489 RX    4F 03 6B 00 30 0C B2
   28782.869 RX    00 00 00
   28782.919 TX    7D
   28793.096 RX    7D 7D 21
   28813.526 RX    40 0A FF 91 00
   28824.087 RX    58 FF FF 01
   28844.650 RX    00 89 64 00 00
   28865.371 RX    29 FF 00 30 80
   28875.665 RX    7C 95 00 26 00 26 00 26 00
   28896.476 RX    26 00 00 00
   28896.597 TX    80
   28907.076 RX    80 80 1C
   28927.554 RX    00 00 86 71 72
   28937.807 RX    FF 65 78 25 00
   28958.169 RX    80 01 00 00 00
   28968.697 RX    1D 81 4F 03 6B 00
   28989.216 RX    30 0C B2 00 00 00
   28989.291 TX    7D
   29009.659 RX    7D 7D 21
   29019.850 RX    40 0A FF 91 00
   29040.351 RX    58 FF FF 01 00
   29050.729 RX    89 64 00 00 29
   29071.137 RX    FF 00 30 80 7C
   29081.654 RX    95 00 26 00 26 00 26 00
   29102.020 RX    26 00 00 00
   29102.071 TX    80
   29112.269 RX    80 80 1C
   29132.625 RX    00 00 86 71 72 FF
   29153.024 RX    65 78 25 00 80
   29163.212 RX    01 00 00 00
   29183.566 RX    1D 81 4F 03 6B 00
   29193.760 RX    30 0C B2 00 00 00
   29193.815 TX    7D
   29214.178 RX    7D 7D 21 40 0A
   29224.384 RX    FF 91 00 58 FF
   29244.728 RX    FF 01 00 89
   29265.081 RX    64 00 00 29 FF
   29275.264 RX    00 30 80 7C 95 00
   29295.702 RX    26 00 26 00 26 00 26 00 00
   29305.857 RX    00
   29305.902 TX    80
   29326.171 RX    80 80 1C 00 00 86
   29336.290 RX    71 72 FF 65
   29356.567 RX    78 25 00 80 01
   29376.839 RX    00 00 00 1D 81
   29386.989 RX    4F 03 6B 00 30 0C
   29407.292 RX    B2 00 00 00
   29407.336 TX    7D
   29417.471 RX    7D 7D
   29437.753 RX    21 40 0A FF 91
   29447.946 RX    00 58 FF FF 01
   29468.319 RX    00 89 64 00 00
   29488.683 RX    29 FF 00 30 80
   29498.843 RX    7C 95 00 26 00 26 00
   29519.134 RX    26 00 26 00 00 00
   29519.190 TX    80
   29529.290 RX    80 80 1C
   29549.595 RX    00 00 86 71 72 FF
   29559.856 RX    65 78 25 00 80
   29580.147 RX    01 00 00 00 1D
   29600.686 RX    81 4F 03 6B 00
   29610.851 RX    30 0C B2 00 00 00
   29611.226 TX    7D
   29631.643 RX    7D 7D 21 40
   29641.816 RX    0A FF 91 00 58
   29662.149 RX    FF FF 01 00 89
   29672.302 RX    64 00 00 29
   29692.641 RX    FF 00 30 80 7C 95
   29712.974 RX    00 26 00 26 00 26 00 26 00
   29723.213 RX    00 00
   29723.253 TX    80
   29743.526 RX    80 80 1C 00
   29753.698 RX    00 86 71 72 FF
   29774.096 RX    65 78 25 00 80
   29784.263 RX    01 00 00 00 1D
   29804.853 RX    81 4F 03 6B 00 30
   29825.180 RX    0C B2 00 00 00
   29825.218 TX    7D
   29835.386 RX    7D 7D 21
   29855.714 RX    40 0A FF 91
   29865.888 RX    00 58 FF FF 01
   29886.233 RX    00 89 64 00 00
   29896.379 RX    29 FF 00 30 80
   29916.737 RX    7C 95 00 26 00 26 00 26
   29937.078 RX    00 26 00 00 00
   29937.114 TX    80
   29947.291 RX    80 80
   29967.627 RX    1C 00 00 86 71 72
   29977.802 RX    FF 65 78 25 00
   29998.200 RX    80 01 00 00 00
   30008.372 RX    1D 81 4F 03 6B 00
   30028.723 RX    30 0C B2 00 00
   30049.057 RX    00
   30049.088 TX    7D
   30059.252 RX    7D 7D
   30079.589 RX    21 40 0A FF 91
   30090.312 RX    00 58 FF FF 01
   30110.640 RX    00 89 64 00
   30120.819 RX    00 29 FF 00 30
   30141.178 RX    80 7C 95 00 26 00 26 00
   30161.550 RX    26 00 26 00 00 00
   30161.604 TX    80
   30171.768 RX    80 80
   30192.117 RX    1C 00 00 86 71 72
   30202.306 RX    FF 65 78 25
   30222.649 RX    00 80 01 00 00
   30232.828 RX    00 1D 81 4F 03 6B
   30253.184 RX    00 30 0C B2 00 00
   30273.543 RX    00
   30273.582 TX    7D
   30283.750 RX    7D 7D
   30304.117 RX    21 40 0A FF
   30314.416 RX    91 00 58 FF FF
   30335.015 RX    01 00 89 64 00
   30345.209 RX    00 29 FF 00 30
   30365.740 RX    80 7C 95 00 26 00 26
   30375.999 RX    00 26 00 26 00 00 00
   30376.067 TX    80
   30396.426 RX    80 80 1C 00 00 86
   30416.790 RX    71 72 FF 65 78
   30426.986 RX    25 00 80 01 00
   30447.374 RX    00 00 1D 81 4F
   30457.557 RX    03 6B 00 30 0C B2
   30478.005 RX    00 00 00
   30478.059 TX    7D
   30488.257 RX    7D 7D 21
   30508.686 RX    40 0A FF 91 00
   30529.087 RX    58 FF FF 01 00
   30539.300 RX    89 64 00 00 29
   30559.664 RX    FF 00 30 80
   30569.842 RX    7C 95 00 26 00 26 00 26 00
   30590.198 RX    26 00 00 00
   30590.271 TX    80
   30600.671 RX    80 80 1C
   30621.057 RX    00 00 86 71 72 FF
   30641.424 RX    65 78 25 00
   30651.612 RX    80 01 00 00 00
   30671.983 RX    1D 81 4F 03 6B 00
   30682.170 RX    30 0C B2 00 00 00
   30682.212 TX    7D
   30702.554 RX    7D 7D 21 40 0A
   30712.825 RX    FF 91 00 58
   30733.300 RX    FF FF 01 00 89
   30743.614 RX    64 00 00 29 FF
   30763.961 RX    00 30 80 7C 95 00
   30784.318 RX    26 00 26 00 26 00 26 00 00
   30794.483 RX    00
   30794.534 TX    80
   30814.793 RX    80 80 1C 00 00
   30824.938 RX    86 71 72 FF 65
   30845.243 RX    78 25 00 80 01
   30865.487 RX    00 00 00 1D 81
   30875.649 RX    4F 03 6B 00 30 0C
   30896.055 RX    B2 00 00 00
   30896.113 TX    7D
   30906.307 RX    7D 7D
   30926.715 RX    21 40 0A FF 91
   30936.903 RX    00 58 FF FF 01
   30957.350 RX    00 89 64 00 00
   30967.552 RX    29 FF 00 30
   30987.946 RX    80 7C 95 00 26 00 26 00
   31008.316 RX    26 00 26 00 00 00
   31008.364 TX    80
   31018.518 RX    80 80
   31038.816 RX    1C 00 00 86 71 72
   31048.963 RX    FF 65 78 25 00
   31069.438 RX    80 01 00 00
   31079.612 RX    00 1D 81 4F 03 6B
   31100.303 RX    00 30 0C B2 00 00
   31120.661 RX    00
   31120.706 TX    7D
   31130.872 RX    7D 7D
   31151.247 RX    21 40 0A FF
   31161.441 RX    91 00 58 FF FF
   31181.951 RX    01 00 89 64 00
   31192.142 RX    00 29 FF 00 30
   31212.510 RX    80 7C 95 00 26 00 26
   31232.889 RX    00 26 00 26 00 00 00
   31232.945 TX    80
   31243.119 RX    80 80
   31263.488 RX    1C 00 00 86 71 72
   31273.675 RX    FF 65 78 25 00
   31294.043 RX    80 01 00 00 00
   31304.232 RX    1D 81 4F 03 6B 00
   31324.602 RX    30 0C B2 00 00
   31344.962 RX    00
   31345.000 TX    7D
   31355.172 RX    7D 7D
   31375.503 RX    21 40 0A FF 91
   31385.690 RX    00 58 FF FF 01
   31406.045 RX    00 89 64 00 00
   31416.237 RX    29 FF 00 30
   31436.598 RX    80 7C 95 00 26 00 26 00
   31456.956 RX    26 00 26 00 00 00
   31456.994 TX    80
   31467.166 RX    80 80
   31487.658 RX    1C 00 00 86 71 72
   31497.839 RX    FF 65 78 25 00
   31518.123 RX    80 01 00 00
   31528.264 RX    00 1D 81 4F 03 6B
   31548.542 RX    00 30 0C B2 00 00
   31568.798 RX    00
   31568.830 TX    7D
   31578.954 RX    7D 7D
   31599.204 RX    21 40 0A FF 91
   31609.266 RX    00 58 FF FF
   31629.548 RX    01 00 89 64 00
   31639.675 RX    00 29 FF 00 30
   31659.920 RX    80 7C 95 00 26 00 26
   31680.166 RX    00 26 00 26 00 00 00
   31680.195 TX    80
   31690.285 RX    80 80
   31710.583 RX    1C 00 00 86 71 72
   31720.710 RX    FF 65 78 25 00
   31741.032 RX    80 01 00 00 00
   31761.287 RX    1D 81 4F 03 6B 00
   31771.414 RX    30 0C B2 00 00
   31791.674 RX    00
   31791.721 TX    7D
   31801.839 RX    7D 7D
   31822.082 RX    21 40 0A FF 91
   31832.207 RX    00 58 FF FF 01
   31852.398 RX    00 89 64 00 00
   31872.638 RX    29 FF 00 30 80
   31882.760 RX    7C 95 00 26 00 26 00
   31902.998 RX    26 00 26 00 00 00
   31903.019 TX    80
   31913.142 RX    80 80 1C
   31933.400 RX    00 00 86 71 72 FF
   31943.527 RX    65 78 25 00 80
   31963.802 RX    01 00 00 00
   31984.089 RX    1D 81 4F 03 6B 00
   31994.220 RX    30 0C B2 00 00 00
   31994.264 TX    7D
   32014.527 RX    7D 7D 21 40
   32024.695 RX    0A FF 91 00 58
   32044.965 RX    FF FF 01 00
   32065.213 RX    89 64 00 00 29
   32075.349 RX    FF 00 30 80 7C 95
   32095.597 RX    00 26 00 26 00 26 00 26
   32106.183 RX    00 00 00
   32106.226 TX    80
   32126.650 RX    80 80 1C 00 00
   32136.880 RX    86 71 72 FF 65
   32157.318 RX    78 25 00 80 01
   32167.490 RX    00 00 00 1D 81
   32187.793 RX    4F 03 6B 00 30 0C
   32208.321 RX    B2 00 00 00
   32208.365 TX    7D
   32218.661 RX    7D 7D
   32239.523 RX    21 40 0A FF 91
   32249.785 RX    00 58 FF FF 01
   32270.243 RX    00 89 64 00 00
   32280.530 RX    29 FF 00 30 80
   32300.939 RX    7C 95 00 26 00 26 00
   32311.197 RX    26 00 26 00 00 00
   32311.262 TX    80
   32331.829 RX    80 80 1C 00 00 86
   32352.222 RX    71 72 FF 65 78
   32362.397 RX    25 00 80 01 00
   32382.829 RX    00 00 1D 81
   32393.064 RX    4F 03 6B 00 30 0C B2
   32413.454 RX    00 00 00
   32413.501 TX    7D
   32423.709 RX    7D 7D 21
   32444.105 RX    40 0A FF 91 00
   32464.523 RX    58 FF FF 01
   32474.799 RX    00 89 64 00 00
   32495.263 RX    29 FF 00 30 80
   32505.485 RX    7C 95 00 26 00 26 00 26 00
   32525.865 RX    26 00 00 00
   32525.916 TX    80
   32536.112 RX    80 80 1C
   32556.614 RX    00 00 86 71 72
   32577.046 RX    FF 65 78 25 00
   32587.268 RX    80 01 00 00 00
   32607.692 RX    1D 81 4F 03 6B 00
   32618.670 RX    30 0C B2 00 00 00
   32618.722 TX    7D
   32639.316 RX    7D 7D 21 40
   32649.505 RX    0A FF 91 00 58
   32669.886 RX    FF FF 01 00 89
   32680.068 RX    64 00 00 29 FF
   32700.459 RX    00 30 80 7C 95 00
   32720.850 RX    26 00 26 00 26 00 26 00
   32731.042 RX    00 00
   32731.086 TX    80
   32751.434 RX    80 80 1C 00 00
   32761.622 RX    86 71 72 FF 65
   32781.994 RX    78 25 00 80 01
   32792.184 RX    00 00 00 1D
   32812.633 RX    81 4F 03 6B 00 30
   32833.055 RX    0C B2 00 00 00
   32833.091 TX    7D
   32843.314 RX    7D 7D
   32863.752 RX    21 40 0A FF 91
   32873.961 RX    00 58 FF FF 01
   32894.318 RX    00 89 64 00
   32904.492 RX    00 29 FF 00 30
   32924.875 RX    80 7C 95 00 26 00 26 00
   32935.073 RX    26 00 26 00 00 00
   32935.112 TX    80
   32955.445 RX    80 80 1C 00 00 86
   32975.821 RX    71 72 FF 65
   32986.018 RX    78 25 00 80 01
   33006.461 RX    00 00 00 1D 81
   33016.788 RX    4F 03 6B 00 30 0C B2
   33037.191 RX    00 00 00
   33037.224 TX    7D
   33047.388 RX    7D 7D 21 40
   33067.700 RX    0A FF 91 00
   33088.278 RX    58 FF FF 01 00
   33098.445 RX    89 64 00 00 29
   33119.538 RX    FF 00 30 80 7C
   33129.708 RX    95 00 26 00 26 00 26 00
   33150.027 RX    26 00 00 00
   33150.073 TX    80
   33160.223 RX    80 80 1C
   33180.568 RX    00 00 86 71 72 FF
   33201.016 RX    65 78 25 00 80
   33211.205 RX    01 00 00 00 1D
   33231.562 RX    81 4F 03 6B 00
   33241.743 RX    30 0C B2 00 00 00
   33241.782 TX    7D
   33262.124 RX    7D 7D 21 40
   33272.316 RX    0A FF 91 00 58
   33292.736 RX    FF FF 01 00 89
   33302.954 RX    64 00 00 29
   33323.303 RX    FF 00 30 80 7C 95
   33343.736 RX    00 26 00 26 00 26 00 26 00
   33353.914 RX    00 00
   33353.963 TX    80
   33374.296 RX    80 80 1C 00
   33384.472 RX    00 86 71 72 FF
   33404.778 RX    65 78 25 00 80
   33414.924 RX    01 00 00 00 1D
   33435.266 RX    81 4F 03 6B 00 30
   33455.557 RX    0C B2 00 00 00
   33455.618 TX    7D
   33465.750 RX    7D 7D 21
   33486.028 RX    40 0A FF 91
   33496.174 RX    00 58 FF FF 01
   33516.622 RX    00 89 64 00 00
   33526.848 RX    29 FF 00 30 80
   33547.174 RX    7C 95 00 26 00 26 00 26
   33567.491 RX    00 26 00 00 00
   33567.538 TX    80
   33577.707 RX    80 80
   33598.065 RX    1C 00 00 86 71 72
   33608.269 RX    FF 65 78 25 00
   33629.508 RX    80 01 00 00 00
   33639.692 RX    1D 81 4F 03 6B 00
   33660.071 RX    30 0C B2 00 00
   33680.445 RX    00
   33680.488 TX    7D
   33690.675 RX    7D 7D
   33711.068 RX    21 40 0A FF 91
   33721.233 RX    00 58 FF FF 01
   33741.506 RX    00 89 64 00 00
   33751.671 RX    29 FF 00 30
   33771.991 RX    80 7C 95 00 26 00 26 00
   33792.263 RX    26 00 26 00 00 00
   33792.309 TX    80
   33802.446 RX    80 80
   33822.732 RX    1C 00 00 86 71 72
   33832.873 RX    FF 65 78 25
   33853.132 RX    00 80 01 00 00
   33863.268 RX    00 1D 81 4F 03 6B
   33883.546 RX    00 30 0C B2 00 00
   33904.003 RX    00
   33904.043 TX    7D
   33914.211 RX    7D 7D 21
   33934.574 RX    40 0A FF 91
   33944.759 RX    00 58 FF FF 01
   33965.126 RX    00 89 64 00 00
   33975.307 RX    29 FF 00 30 80
   33995.643 RX    7C 95 00 26 00 26 00 26
   34015.989 RX    00 26 00 00 00
   34016.082 TX    80
   34026.383 RX    80 80
   34046.721 RX    1C 00 00 86 71 72
   34056.888 RX    FF 65 78 25 00
   34077.306 RX    80 01 00 00 00
   34087.724 RX    1D 81 4F 03 6B 00
   34108.085 RX    30 0C B2 00 00
   34129.083 RX    00
   34129.138 TX    7D
   34139.308 RX    7D 7D
   34159.652 RX    21 40 0A FF 91
   34169.831 RX    00 58 FF FF 01
   34190.182 RX    00 89 64 00 00
   34200.338 RX    29 FF 00 30
   34220.684 RX    80 7C 95 00 26 00 26 00
   34230.887 RX    26 00 26 00 00 00
   34230.930 TX    80
   34251.262 RX    80 80 1C 00 00 86
   34271.613 RX    71 72 FF 65 78
   34281.789 RX    25 00 80 01
   34302.130 RX    00 00 00 1D 81
   34312.316 RX    4F 03 6B 00 30 0C B2
   34332.682 RX    00 00 00
   34332.717 TX    7D
   34342.886 RX    7D 7D 21
   34363.241 RX    40 0A FF 91
   34383.603 RX    00 58 FF FF 01
   34393.877 RX    00 89 64 00 00
   34414.235 RX    29 FF 00 30 80
   34424.409 RX    7C 95 00 26 00 26 00 26
   34444.757 RX    00 26 00 00 00
   34444.821 TX    80
   34454.985 RX    80 80 1C
   34475.340 RX    00 00 86 71 72 FF
   34495.690 RX    65 78 25 00 80
   34505.868 RX    01 00 00 00 1D
   34526.234 RX    81 4F 03 6B 00 30
   34536.405 RX    0C B2 00 00 00
   34536.448 TX    7D
   34556.799 RX    7D 7D 21 40
   34567.102 RX    0A FF 91 00 58
   34587.477 RX    FF FF 01 00 89
   34607.829 RX    64 00 00 29 FF
   34618.016 RX    00 30 80 7C 95
   34638.756 RX    00 26 00 26 00 26 00 26 00
   34648.968 RX    00 00
   34649.030 TX    80
   34669.381 RX    80 80 1C 00 00
   34679.605 RX    86 71 72 FF 65
   34700.084 RX    78 25 00 80 01
   34710.730 RX    00 00 00 1D
   34731.733 RX    81 4F 03 6B 00 30
   34752.131 RX    0C B2 00 00 00
   34752.183 TX    7D
   34762.411 RX    7D 7D
   34782.832 RX    21 40 0A FF 91
   34793.127 RX    00 58 FF FF
   34813.494 RX    01 00 89 64 00
   34823.699 RX    00 29 FF 00 30
   34844.089 RX    80 7C 95 00 26 00 26
   34864.464 RX    00 26 00 26 00 00 00
   34864.513 TX    80
   34874.693 RX    80 80
   34895.213 RX    1C 00 00 86 71
   34905.387 RX    72 FF 65 78 25
   34925.726 RX    00 80 01 00 00
   34935.908 RX    00 1D 81 4F 03
   34956.230 RX    6B 00 30 0C B2 00 00
   34966.425 RX    00
   34966.469 TX    7D
   34986.767 RX    7D 7D 21 40 0A
   35007.117 RX    FF 91 00 58 FF
   35017.314 RX    FF 01 00 89 64
   35037.714 RX    00 00 29 FF 00
   35047.915 RX    30 80 7C 95 00
   35068.305 RX    26 00 26 00 26 00 26 00 00
   35078.636 RX    00
   35078.697 TX    80
   35099.111 RX    80 80 1C 00 00 86
   35119.457 RX    71 72 FF 65 78
   35129.778 RX    25 00 80 01 00
   35150.073 RX    00 00 1D 81
   35160.234 RX    4F 03 6B 00 30 0C B2
   35180.488 RX    00 00 00
   35180.533 TX    7D
   35190.663 RX    7D 7D 21
   35210.934 RX    40 0A FF 91 00
   35231.201 RX    58 FF FF 01
   35241.343 RX    00 89 64 00 00
   35261.607 RX    29 FF 00 30 80
   35271.739 RX    7C 95 00 26 00 26 00 26
   35291.990 RX    00 26 00 00 00
   35292.023 TX    80
   35312.267 RX    80 80 1C
   35322.420 RX    00 00 86 71 72 FF
   35342.673 RX    65 78 25 00 80
   35352.801 RX    01 00 00 00 1D
   35373.055 RX    81 4F 03 6B 00 30
   35383.185 RX    0C B2 00 00 00
   35383.375 TX    7D
   35403.869 RX    7D 7D 21 40
   35424.123 RX    0A FF 91 00 58
   35434.252 RX    FF FF 01 00 89
   35454.508 RX    64 00 00 29 FF
   35464.637 RX    00 30 80 7C 95
   35484.890 RX    00 26 00 26 00 26 00 26 00
   35495.066 RX    00 00
   35495.136 TX    80
   35515.467 RX    80 80 1C 00 00 86
   35535.818 RX    71 72 FF 65 78
   35546.001 RX    25 00 80 01 00
   35566.320 RX    00 00 1D 81
   35576.493 RX    4F 03 6B 00 30 0C B2
   35596.829 RX    00 00 00
   35596.881 TX    7D
   35607.042 RX    7D 7D 21
   35627.382 RX    40 0A FF 91 00
   35647.654 RX    58 FF FF 01
   35657.838 RX    00 89 64 00 00
   35678.177 RX    29 FF 00 30 80
   35688.363 RX    7C 95 00 26 00 26 00 26 00
   35708.702 RX    26 00 00 00
   35708.741 TX    80
   35718.899 RX    80 80 1C
   35739.243 RX    00 00 86 71 72
   35759.578 RX    FF 65 78 25 00
   35769.751 RX    80 01 00 00 00
   35790.096 RX    1D 81 4F 03 6B 00
   35800.283 RX    30 0C B2 00 00 00
   35800.321 TX    7D
   35820.673 RX    7D 7D 21 40
   35830.865 RX    0A FF 91 00 58
   35851.254 RX    FF FF 01 00 89
   35871.606 RX    64 00 00 29 FF
   35881.780 RX    00 30 80 7C 95 00
   35902.331 RX    26 00 26 00 26 00 26 00
   35912.523 RX    00 00
   35912.571 TX    80
   35932.906 RX    80 80 1C 00 00
   35943.103 RX    86 71 72 FF 65
   35963.553 RX    78 25 00 80 01
   35983.944 RX    00 00 00 1D 81
   35994.241 RX    4F 03 6B 00 30
   36014.668 RX    0C B2 00 00 00
   36014.713 TX    7D
   36024.992 RX    7D 7D
   36045.869 RX    21 40 0A FF 91
   36056.236 RX    00 58 FF FF 01
   36076.748 RX    00 89 64 00
   36086.933 RX    00 29 FF 00 30
   36107.561 RX    80 7C 95 00 26 00 26 00
   36128.204 RX    26 00 26 00 00 00
   36128.311 TX    80
   36138.829 RX    80 80
   36159.297 RX    1C 00 00 86 71 72
   36169.546 RX    FF 65 78 25
   36190.008 RX    00 80 01 00 00
   36200.245 RX    00 1D 81 4F 03 6B
   36220.652 RX    00 30 0C B2 00 00
   36230.855 RX    00
   36230.906 TX    7D
   36251.420 RX    7D 7D 21 40
   36271.788 RX    0A FF 91 00 58
   36281.981 RX    FF FF 01 00 89
   36302.317 RX    64 00 00 29 FF
   36312.503 RX    00 30 80 7C 95 00
   36332.875 RX    26 00 26 00 26 00 26 00
   36343.066 RX    00 00
   36343.112 TX    80
   36363.457 RX    80 80 1C 00 00 86
   36383.818 RX    71 72 FF 65 78
   36394.007 RX    25 00 80 01 00
   36414.378 RX    00 00 1D 81
   36424.577 RX    4F 03 6B 00 30 0C B2
   36445.017 RX    00 00 00
   36445.081 TX    7D
   36455.298 RX    7D 7D 21
   36475.675 RX    40 0A FF 91 00
   36496.017 RX    58 FF FF 01 00
   36506.213 RX    89 64 00 00
   36526.568 RX    29 FF 00 30 80
   36536.751 RX    7C 95 00 26 00 26 00 26 00
   36557.117 RX    26 00 00 00
   36557.163 TX    80
   36567.321 RX    80 80 1C
   36587.686 RX    00 00 86 71 72 FF
   36608.057 RX    65 78 25 00
   36618.287 RX    80 01 00 00 00
   36638.711 RX    1D 81 4F 03 6B 00
   36648.907 RX    30 0C B2 00 00 00
   36648.950 TX    7D
   36669.303 RX    7D 7D 21 40 0A
   36679.496 RX    FF 91 00 58
   36699.870 RX    FF FF 01 00 89
   36710.067 RX    64 00 00 29 FF
   36730.470 RX    00 30 80 7C 95 00
   36750.847 RX    26 00 26 00 26 00 26 00 00
   36761.046 RX    00
   36761.101 TX    80
   36781.446 RX    80 80 1C 00 00
   36791.639 RX    86 71 72 FF 65
   36812.013 RX    78 25 00 80 01
   36822.213 RX    00 00 00 1D 81
   36842.663 RX    4F 03 6B 00 30
   36863.036 RX    0C B2 00 00 00
   36863.103 TX    7D
   36873.267 RX    7D 7D
   36893.613 RX    21 40 0A FF 91
   36903.791 RX    00 58 FF FF 01
   36924.136 RX    00 89 64 00 00
   36934.313 RX    29 FF 00 30
   36954.654 RX    80 7C 95 00 26 00 26 00
   36974.992 RX    26 00 26 00 00 00
   36975.051 TX    80
   36985.220 RX    80 80
   37005.559 RX    1C 00 00 86 71 72
   37015.738 RX    FF 65 78 25 00
   37036.092 RX    80 01 00 00
   37046.379 RX    00 1D 81 4F 03 6B
   37066.882 RX    00 30 0C B2 00 00
   37087.237 RX    00
   37087.287 TX    7D
   37097.450 RX    7D 7D
   37117.800 RX    21 40 0A FF 91
   37128.118 RX    00 58 FF FF
   37148.805 RX    01 00 89 64 00
   37159.006 RX    00 29 FF 00 30
   37179.418 RX    80 7C 95 00 26 00 26
   37199.813 RX    00 26 00 26 00 00 00
   37199.874 TX    80
   37210.054 RX    80 80
   37230.457 RX    1C 00 00 86 71 72
   37240.653 RX    FF 65 78 25 00
   37261.047 RX    80 01 00 00 00
   37271.243 RX    1D 81 4F 03 6B 00
   37291.635 RX    30 0C B2 00 00
   37301.908 RX    00
   37301.958 TX    7D
   37322.463 RX    7D 7D 21 40 0A
   37343.135 RX    FF 91 00 58 FF
   37353.315 RX    FF 01 00 89 64
   37373.652 RX    00 00 29 FF
   37383.839 RX    00 30 80 7C 95 00
   37404.221 RX    26 00 26 00 26 00 26 00 00
   37414.486 RX    00
   37414.546 TX    80
   37434.880 RX    80 80 1C 00 00 86
   37455.451 RX    71 72 FF 65 78
   37465.709 RX    25 00 80 01
   37486.419 RX    00 00 00 1D 81
   37496.645 RX    4F 03 6B 00 30 0C B2
   37517.119 RX    00 00 00
   37517.201 TX    7D
   37527.520 RX    7D 7D 21
   37547.975 RX    40 0A FF 91
   37558.166 RX    00 58 FF FF 01
   37578.698 RX    00 89 64 00 00
   37599.065 RX    29 FF 00 30 80
   37609.353 RX    7C 95 00 26 00 26 00 26
   37629.719 RX    00 26 00 00 00
   37629.761 TX    80
   37640.453 RX    80 80
   37660.849 RX    1C 00 00 86 71 72
   37671.051 RX    FF 65 78 25 00
   37691.583 RX    80 01 00 00 00
