
=== open /dev/ttyUSB0 9600 8N1 at 2026-07-27T11:41:57.406272704+02:00
       0.065 CFG   read timeout 500ms
    5441.484 RX    00 00 00
    5441.530 TX    80
    5461.837 RX    80 80 1C 00 00
    5472.006 RX    86 72 72 FF 65
    5492.397 RX    78 25 00 80 01
    5502.602 RX    00 00 00 1D 81
    5522.950 RX    4F 03 6B 00 30
    5543.308 RX    0C B2 00 00 00
    5543.354 TX    7D
    5553.519 RX    7D 7D
    5573.886 RX    21 40 0A FF 91
    5584.097 RX    00 58 FF FF 01
    5604.460 RX    00 89 64 00
    5614.636 RX    00 29 FF 00 30
    5634.961 RX    80 7C 95 00 26 00 26 00
    5655.321 RX    26 00 26 00 00 00
    5655.375 TX    80
    5665.535 RX    80 80
    5685.898 RX    1C 00 00 86 72 72
    5696.109 RX    FF 65 78 25
    5716.475 RX    00 80 01 00 00
    5726.637 RX    00 1D 81 4F 03 6B
    5746.983 RX    00 30 0C B2 00 00
    5767.621 RX    00
    5767.658 TX    7D
    5777.805 RX    7D 7D
    5798.157 RX    21 40 0A FF
    5808.324 RX    91 00 58 FF FF
    5828.835 RX    01 00 89 64 00
    5839.034 RX    00 29 FF 00 30
    5859.390 RX    80 7C 95 00 26 00 26
    5879.726 RX    00 26 00 26 00 00 00
    5879.764 TX    80
    5889.970 RX    80 80
    5910.309 RX    1C 00 00 86 72 72
    5920.493 RX    FF 65 78 25 00
    5940.813 RX    80 01 00 00 00
    5951.009 RX    1D 81 4F 03 6B 00
    5971.308 RX    30 0C B2 00 00
    5991.638 RX    00
    5991.670 TX    7D
    6001.818 RX    7D 7D
    6022.187 RX    21 40 0A FF 91
    6032.364 RX    00 58 FF FF 01
    6052.689 RX    00 89 64 00 00
    6062.859 RX    29 FF 00 30
    6083.226 RX    80 7C 95 00 26 00 26 00
    6103.560 RX    26 00 26 00 00 00
    6103.609 TX    80
    6113.756 RX    80 80
    6134.102 RX    1C 00 00 86 72 72
    6144.288 RX    FF 65 78 25
    6164.613 RX    00 80 01 00 00
    6174.852 RX    00 1D 81 4F 03 6B
    6195.199 RX    00 30 0C B2 00 00
    6215.534 RX    00
    6215.569 TX    7D
    6225.722 RX    7D 7D
    6246.064 RX    21 40 0A FF 91
    6256.242 RX    00 58 FF FF
    6276.545 RX    01 00 89 64 00
    6286.727 RX    00 29 FF 00 30
    6307.064 RX    80 7C 95 00 26 00 26
    6327.387 RX    00 26 00 26 00 00 00
    6327.432 TX    80
    6337.662 RX    80 80
    6358.022 RX    1C 00 00 86 72 72
    6368.209 RX    FF 65 78 25 00
    6388.543 RX    80 01 00 00 00
    6398.714 RX    1D 81 4F 03 6B 00
    6419.029 RX    30 0C B2 00 00
    6439.368 RX    00
    6439.410 TX    7D
    6449.606 RX    7D 7D
    6469.976 RX    21 40 0A FF 91
    6480.347 RX    00 58 FF FF 01
    6500.648 RX    00 89 64 00 00
    6510.894 RX    29 FF 00 30
    6531.363 RX    80 7C 95 00 26 00 26 00
    6551.738 RX    26 00 26 00 00 00
    6551.802 TX    80
    6561.990 RX    80 80
    6582.376 RX    1C 00 00 86 72 72
    6592.588 RX    FF 65 78 25
    6612.990 RX    00 80 01 00 00
    6623.210 RX    00 1D 81 4F 03 6B
    6643.643 RX    00 30 0C B2 00 00
    6653.839 RX    00
    6653.888 TX    7D
